t (s) : 08/28/2023 22:41:55,I1 (uA),I2 (uA),I3 (uA),I4 (uA),I5 (uA),I6 (uA),I7 (uA),I8 (uA),V1 (V),V2 (V),V3 (V),V4 (V),V5 (V),V6 (V),V7 (V),V8 (V)
39615.136719,0.0,-0.080584,-0.080808,0.080686,0.0,-0.023961,-0.000167,0.020087,0.0,0.0,0.0,0.000807,0.0,2.369564,3.193553,1.99869
39615.238281,0.080544,0.080544,-0.080808,0.080686,0.0,-0.023961,-0.000167,-0.060546,0.0,0.000805,0.0,0.000807,0.0,2.369564,3.193553,1.997884
39615.339844,0.080544,-4.1e-05,-0.080808,-2e-05,0.0,-0.023961,-0.000167,-0.060546,0.0,0.000805,0.0,0.000807,0.0,2.369564,3.193553,1.997884
39615.441406,0.080544,-4.1e-05,-0.080808,0.0,0.0,-0.023961,0.080419,-0.060546,0.0,0.000805,0.0,0.0,0.0,2.369564,3.194359,1.997884
39615.542969,0.0,-4.1e-05,-0.161616,0.0,0.0,-0.023961,0.16098,-0.060546,0.0,0.000805,0.0,0.0,0.0,2.369564,3.194359,1.997884
39615.644531,0.080544,-4.1e-05,-0.161616,0.0,0.0,-0.023961,0.080419,-0.060546,0.0,0.000805,0.0,0.0,0.0,2.369564,3.194359,1.997884
39615.746094,0.080544,-4.1e-05,-0.080808,0.0,0.0,-0.023961,0.080395,0.020087,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.99869
39615.847656,0.0,-4.1e-05,-0.161616,-0.080706,0.0,-0.023961,0.080395,-0.060546,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.997884
39615.949219,0.080544,-0.080584,-0.080808,0.080686,0.0,-0.023961,-0.000167,0.020087,0.0,0.0,0.0,0.000807,0.0,2.369564,3.193553,1.99869
39616.050781,0.080544,-4.1e-05,0.0,0.0,0.0,-0.023961,-0.000167,0.020087,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.99869
39616.152344,0.080544,-4.1e-05,0.0,0.0,0.0,-0.023961,0.080395,-0.060546,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.997884
39616.253906,0.0,-0.080584,-0.161616,0.0,0.0,-0.023961,-0.000167,-0.060546,0.0,0.0,0.0,0.0,0.0,2.369564,3.193553,1.997884
39616.355469,0.0,-4.1e-05,-0.080808,0.0,0.0,-0.023961,-0.000167,0.020087,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.99869
39616.457031,0.080544,0.080544,-0.080808,0.0,0.0,-0.023961,-0.000167,0.020087,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.99869
39616.558594,0.080544,-4.1e-05,-0.080808,0.0,0.0,-0.023961,-0.000167,-0.060546,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.997884
39616.660156,0.0,-4.1e-05,-0.080808,-0.080706,0.0,-0.023961,0.080419,0.020087,0.0,0.000805,0.0,0.0,0.0,2.369564,3.194359,1.99869
39616.761719,0.080544,-4.1e-05,-0.080808,0.0,0.0,-0.023961,0.16098,0.020087,0.0,0.000805,0.0,0.0,0.0,2.369564,3.194359,1.99869
39616.863281,0.080544,0.080544,0.0,0.0,0.0,-0.023961,-0.000167,0.020087,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.99869
39616.964844,0.0,-4.1e-05,-0.080808,-0.080706,0.0,-0.104499,-0.000167,-0.060546,0.0,0.000805,0.0,0.0,0.0,2.369564,3.193553,1.997884
