t (s) : 10/02/2023 12:58:34,I1 (uA),I2 (uA),I3 (uA),I4 (uA),I5 (uA),I6 (uA),I7 (uA),I8 (uA),V1 (V),V2 (V),V3 (V),V4 (V),V5 (V),V6 (V),V7 (V),V8 (V)
8.429688,-0.069898,-0.228382,0.094967,0.606346,6.16672,0.604892,0.847983,0.202823,-0.00907,-0.005838,-0.000235,3.24845,3.247581,3.247606,3.248413,3.248463
8.429688,-0.069898,-0.228382,0.094967,0.606346,6.16672,0.604892,0.847983,0.202823,-0.00907,-0.005838,-0.000235,3.24845,3.247581,3.247606,3.248413,3.248463
10.429688,-0.069898,-0.228382,0.094967,0.606346,6.16672,0.604892,0.847983,0.202823,-0.00907,-0.005838,-0.000235,3.24845,3.247581,3.247606,3.248413,3.248463
12.429688,-0.069898,-0.228382,0.094967,0.606346,6.16672,0.604892,0.847983,0.202823,-0.00907,-0.005838,-0.000235,3.24845,3.247581,3.247606,3.248413,3.248463
