t (s) : 10/02/2023 13:00:50,I1 (uA),I2 (uA),I3 (uA),I4 (uA),I5 (uA),I6 (uA),I7 (uA),I8 (uA),V1 (V),V2 (V),V3 (V),V4 (V),V5 (V),V6 (V),V7 (V),V8 (V)
86623.484375,0.092026,-1.036111,-0.384534,0.52557,0.285959,0.202823,0.444436,0.362802,-0.003414,-0.005865,-0.000182,3.248438,3.248425,3.248375,3.248349,3.248387
86623.585938,0.253611,-1.116924,-0.465321,0.52557,0.285959,0.202775,0.444412,0.362802,-0.001798,-0.006674,-0.000182,3.248438,3.248425,3.247568,3.247544,3.248387
86623.6875,0.092026,-1.036111,-0.303741,0.52557,0.285959,0.283408,0.363874,0.362802,-0.003414,-0.005865,0.000625,3.248438,3.248425,3.248375,3.247544,3.248387
