t (s) : 01/22/2023 15:27:13,I1 (uA),I2 (uA),I3 (uA),I4 (uA),I5 (uA),I6 (uA),I7 (uA),I8 (uA),V1 (V),V2 (V),V3 (V),V4 (V),V5 (V),V6 (V),V7 (V),V8 (V)
0.100002,0.082684,-0.004721,17.649984,-0.004697,33.516907,0.409698,0.241876,0.0,3.290096,3.293431,3.295895,3.293501,3.291866,3.296652,3.29675,3.294331
0.200002,0.002265,-0.085258,17.40818,-0.004697,33.19466,0.329161,0.241876,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
0.300003,0.082684,-0.085258,17.166351,-0.004697,32.630707,0.409698,0.241876,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.296652,3.29675,3.293525
0.400005,0.082684,-0.004721,16.924549,-0.004697,32.227898,0.248671,0.241876,0.080633,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.294331
0.500006,0.002265,-0.085258,16.602135,-0.004697,31.825066,0.248671,0.322509,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.295847,3.297556,3.293525
0.600007,0.163126,0.075865,16.360306,-0.004697,31.341696,0.248671,0.241876,0.0,3.2909,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
0.700009,0.082684,-0.004673,16.037893,-0.004697,30.858303,0.490189,0.241876,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.296652,3.29675,3.293525
0.800011,0.163126,-0.004721,15.876698,-0.004697,30.455494,0.409698,0.241876,0.0,3.2909,3.293431,3.295895,3.293501,3.291866,3.296652,3.29675,3.293525
0.900011,0.002265,-0.004721,15.796089,-0.004697,30.213785,0.248671,0.241876,0.080633,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.294331
1.000012,0.082684,-0.085258,15.71548,-0.004697,30.052662,0.329208,0.322509,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.296652,3.297556,3.293525
1.100012,0.082684,0.075865,15.554261,-0.004697,29.972124,0.409698,0.241876,0.0,3.290096,3.293431,3.295895,3.293501,3.292672,3.296652,3.29675,3.294331
1.200012,0.082684,-0.004721,15.554261,-0.004697,29.649853,0.248671,0.322509,0.0,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.297556,3.294331
1.300014,0.002265,0.075865,15.554261,-0.004697,29.327583,0.329161,0.241876,0.0,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.294331
1.400028,0.082684,-0.004721,15.554261,-0.004697,29.327583,0.329208,0.322509,0.0,3.290096,3.293431,3.295895,3.293501,3.291866,3.296652,3.297556,3.294331
1.50003,0.163126,-0.004721,15.473676,-0.004697,29.327606,0.329161,0.241876,-0.080633,3.2909,3.293431,3.295895,3.293501,3.292672,3.295847,3.29675,3.293525
1.600031,0.163126,-0.085258,15.473676,-0.004697,29.085899,0.329161,0.241876,0.0,3.2909,3.292625,3.295895,3.293501,3.291866,3.295847,3.29675,3.294331
1.700033,0.082684,-0.085258,15.473676,-0.004697,28.924774,0.329161,0.241876,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
1.800034,0.163126,-0.004721,15.393066,-0.004697,29.00536,0.329161,0.322509,0.080633,3.2909,3.293431,3.295895,3.293501,3.292672,3.295847,3.297556,3.294331
1.900035,0.002265,0.075865,15.393066,-0.004697,28.844213,0.409698,0.241876,0.0,3.290096,3.293431,3.295895,3.293501,3.291866,3.296652,3.29675,3.294331
2.000036,0.082684,-0.085258,15.393066,-0.004697,28.763653,0.409698,0.322509,0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.296652,3.297556,3.294331
2.100036,0.082707,-0.085306,15.231848,-0.004768,28.763653,0.329161,0.322509,0.0,3.2909,3.293431,3.295895,3.294307,3.291866,3.295847,3.297556,3.294331
2.200036,0.082707,-0.004721,15.312457,-0.004768,28.763676,0.329208,0.241876,0.0,3.2909,3.293431,3.295895,3.294307,3.292672,3.296652,3.29675,3.294331
2.300037,0.082707,-0.004721,15.231848,-0.004697,28.68309,0.329208,0.241876,0.0,3.2909,3.293431,3.295895,3.293501,3.291866,3.296652,3.297556,3.293525
2.400038,0.082684,-0.004721,15.231848,-0.004697,28.521942,0.329161,0.241876,0.080633,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.294331
2.500039,0.163126,-0.085258,15.151238,-0.004697,28.602528,0.409698,0.241876,0.0,3.2909,3.292625,3.295895,3.293501,3.291866,3.296652,3.29675,3.294331
2.600039,0.002265,-0.085258,15.151238,-0.004697,28.441381,0.248671,0.241876,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
2.700041,0.002265,-0.004721,15.151238,-0.004697,28.360821,0.248671,0.241876,-0.080633,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
2.800041,0.082684,-0.004721,15.151238,-0.004697,28.521942,0.329161,0.241876,0.080633,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.294331
2.900041,0.082684,-0.004721,15.070653,-0.004697,28.521942,0.248671,0.241876,0.0,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
3.000041,0.082684,-0.004721,15.070653,-0.004697,28.521942,0.329208,0.161242,-0.080633,3.290096,3.293431,3.295895,3.293501,3.291866,3.296652,3.29675,3.293525
3.100041,0.082684,-0.004721,14.990044,-0.004697,28.441381,0.248671,0.241876,-0.080633,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
3.200043,0.082684,-0.004721,14.990044,-0.004697,28.441381,0.248671,0.322509,-0.080633,3.290096,3.293431,3.295895,3.293501,3.291866,3.295847,3.297556,3.293525
3.300045,0.163126,-0.004721,14.990044,-0.004697,28.280258,0.329208,0.241876,0.0,3.2909,3.293431,3.295895,3.293501,3.291866,3.296652,3.29675,3.294331
3.400046,0.163126,-0.004721,14.990044,-0.004697,28.441406,0.409698,0.161242,0.0,3.2909,3.293431,3.295895,3.293501,3.292672,3.296652,3.29675,3.294331
3.500046,0.002265,-0.085258,14.909434,-0.004697,28.199696,0.329161,0.241876,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
3.600046,0.163126,-0.004673,14.909434,-0.004697,28.280258,0.329208,0.161242,0.0,3.2909,3.292625,3.295895,3.293501,3.291866,3.296652,3.29675,3.294331
